Goalkeeping_Rk,Goalkeeping_Player,Goalkeeping_Nation,Goalkeeping_Pos,Goalkeeping_Squad,Goalkeeping_Age,Goalkeeping_Born,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Starts,Goalkeeping_Playing_Time_Min,Goalkeeping_Playing_Time_90s,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Matches,Goalkeeping_Player_Link,Goalkeeping_Player_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
46,Samir Ujkani,xk KVX,GK,Empoli,34,1988,1,0,7,0.1,1,12.86,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches,https://fbref.com/en/players/96640846/Samir-Ujkani,96640846,0,0,0,0.2,0.25,-0.8,-9.69,0,0,,2,1,0.0,18.5,1,0.0,27.0,1,0,0.0,0,0.00,,Serie A
47,Guglielmo Vicario,it ITA,GK,Empoli,25,1996,31,31,2783,30.9,39,1.26,134,95,73.9,9,12,10,7,22.6,6,4,1,1,20.0,Matches,https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario,77d6fd4d,0,8,1,40.9,0.27,+2.9,+0.09,138,455,30.3,1106,151,33.5,33.8,170,50.0,42.9,606,34,5.6,22,0.71,11.5,Serie A
48,Jeroen Zoet,nl NED,GK,Spezia,31,1991,5,4,334,3.7,4,1.08,13,9,76.9,0,3,1,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/cc1a0c57/Jeroen-Zoet,cc1a0c57,0,1,0,2.8,0.14,-1.2,-0.31,25,78,32.1,110,13,54.5,39.0,23,78.3,58.4,62,4,6.5,6,1.61,14.7,Serie A
49,Petar Zovko,ba BIH,GK,Spezia,20,2002,1,0,74,0.8,2,2.43,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches,https://fbref.com/en/players/54f6afe3/Petar-Zovko,54f6afe3,0,0,0,1.7,0.55,-0.3,-0.42,7,21,33.3,23,3,47.8,35.1,13,76.9,51.1,24,1,4.2,2,2.47,17.0,Serie A
1,Doğan Alemdar,tr TUR,GK,Rennes,19,2002,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0,Matches,https://fbref.com/en/players/9e17ccff/Dogan-Alemdar,9e17ccff,0,2,0,6.5,0.29,-1.5,-0.32,23,67,34.3,109,14,38.5,33.0,35,71.4,51.4,75,5,6.7,5,1.11,14.8,Ligue 1
2,Paul Bernardoni,fr FRA,GK,Angers,25,1997,27,27,2430,27.0,62,2.30,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0,Matches,https://fbref.com/en/players/28dabd43/Paul-Bernardoni,28dabd43,1,6,3,51.4,0.31,-7.6,-0.28,94,291,32.3,479,124,39.5,34.6,185,55.1,42.6,357,21,5.9,18,0.67,11.4,Ligue 1
3,Marco Bizot,nl NED,GK,Brest,31,1991,37,37,3330,37.0,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2,Matches,https://fbref.com/en/players/3d214e5f/Marco-Bizot,3d214e5f,1,11,2,54.9,0.26,+2.9,+0.08,198,477,41.5,806,163,38.2,35.5,289,58.5,43.9,520,30,5.8,25,0.68,11.6,Ligue 1
4,Rubén Blanco,es ESP,GK,Marseille,27,1995,6,6,495,5.5,6,1.09,19,15,68.4,1,3,2,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/967f34d3/Ruben-Blanco,967f34d3,0,1,2,3.9,0.20,-0.1,-0.02,11,47,23.4,165,31,20.6,27.4,41,31.7,32.1,73,3,4.1,7,1.27,17.9,Ligue 1
5,Joaquín Blázquez,ar ARG,GK,Brest,21,2001,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,https://fbref.com/en/players/6a9e4913/Joaquin-Blazquez,6a9e4913,0,0,0,0.2,0.06,+0.2,+0.17,8,13,61.5,18,3,61.1,45.7,11,18.2,26.3,11,2,18.2,0,0.00,3.5,Ligue 1
6,Marcin Bułka,pl POL,GK,Nice,22,1999,2,2,180,2.0,2,1.00,6,4,66.7,0,1,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,db87a2c4,0,0,0,3.1,0.52,+1.1,+0.56,8,20,40.0,49,11,20.4,28.1,18,55.6,44.2,26,2,7.7,3,1.50,13.8,Ligue 1
7,Matis Carvalho,pt POR,GK,Montpellier,23,1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,,Matches,https://fbref.com/en/players/8608f269/Matis-Carvalho,8608f269,0,0,0,1.9,0.24,-1.1,-0.70,14,43,32.6,38,4,78.9,49.4,14,92.9,61.4,38,2,5.3,0,0.00,8.3,Ligue 1
8,Leonardo César Jardim,br BRA,GK,Lille,27,1995,6,6,540,6.0,13,2.17,15,4,26.7,3,1,2,0,0.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/f5dfc256/Leonardo-Cesar-Jardim,f5dfc256,,,,,,,,,,,,,,,,,,,,,,,,Ligue 1
9,Lucas Chevalier,fr FRA,GK,Lille,20,2001,32,32,2880,32.0,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3,Matches,https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,b3d76d84,2,1,3,30.5,0.27,+2.5,+0.08,76,282,27.0,903,121,26.2,29.4,105,42.9,37.2,317,22,6.9,25,0.78,13.5,Ligue 1
10,Benoît Costil,fr FRA,GK,Auxerre,35,1987,19,19,1710,19.0,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0.0,Matches,https://fbref.com/en/players/2434f24a/Benoit-Costil,2434f24a,0,3,0,34.0,0.33,-7.0,-0.37,132,292,45.2,454,72,41.9,36.8,137,74.5,51.7,285,3,1.1,11,0.58,13.1,Ligue 1
11,Rémy Descamps,fr FRA,GK,Nantes,26,1996,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/477e50ce/Remy-Descamps,477e50ce,0,0,0,1.5,0.25,+0.5,+0.48,5,9,55.6,20,9,25.0,33.2,6,66.7,46.5,11,1,9.1,0,0.00,7.0,Ligue 1
12,Mory Diaw,sn SEN,GK,Clermont Foot,29,1993,37,37,3330,37.0,47,1.27,161,110,75.8,17,8,12,10,27.0,12,8,4,0,33.3,Matches,https://fbref.com/en/players/f41a69e6/Mory-Diaw,f41a69e6,0,5,0,55.4,0.28,+8.4,+0.23,235,601,39.1,1209,173,40.0,37.0,255,45.9,40.4,464,34,7.3,25,0.68,11.5,Ligue 1
13,Yehvann Diouf,fr FRA,GK,Reims,22,1999,31,31,2790,31.0,31,1.00,137,107,78.1,11,12,8,14,45.2,1,1,0,0,0.0,Matches,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,eedea60b,2,2,1,37.0,0.27,+7.0,+0.22,136,308,44.2,874,191,28.3,31.8,185,33.0,34.3,430,40,9.3,35,1.13,12.7,Ligue 1
