Goalkeeping_Rk,Goalkeeping_Player,Goalkeeping_Nation,Goalkeeping_Pos,Goalkeeping_Squad,Goalkeeping_Age,Goalkeeping_Born,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Starts,Goalkeeping_Playing_Time_Min,Goalkeeping_Playing_Time_90s,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Matches,Goalkeeping_Player_Link,Goalkeeping_Player_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
29,Jordi Masip,es ESP,GK,Valladolid,33,1989,28,28,2507,27.9,42,1.51,145,101,74.5,9,5,14,8,28.6,9,5,3,1,37.5,Matches,https://fbref.com/en/players/8fae77ea/Jordi-Masip,8fae77ea,0,0,1,45.8,0.27,+4.8,+0.17,133,389,34.2,722,121,36.8,35.9,239,51.5,41.9,396,15,3.8,14,0.50,12.7,La Liga
30,Jan Oblak,si SVN,GK,Atlético Madrid,29,1993,28,28,2492,27.7,20,0.72,79,59,75.9,17,5,6,11,39.3,2,1,0,1,0.0,Matches,https://fbref.com/en/players/ee8508c0/Jan-Oblak,ee8508c0,1,1,0,21.9,0.27,+1.9,+0.07,120,374,32.1,586,115,40.4,36.1,228,60.1,46.0,358,25,7.0,19,0.69,14.2,La Liga
31,Fernando Pacheco,es ESP,GK,Espanyol,30,1992,16,16,1440,16.0,33,2.06,88,54,67.0,4,3,9,3,18.8,5,4,1,0,20.0,Matches,https://fbref.com/en/players/97852360/Fernando-Pacheco,97852360,0,3,0,26.6,0.25,-6.4,-0.40,127,272,46.7,417,56,42.4,36.2,137,69.3,49.6,242,16,6.6,19,1.19,13.8,La Liga
32,Fernando Pacheco,es ESP,GK,Almería,30,1992,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/97852360/Fernando-Pacheco,97852360,0,1,0,1.6,0.32,-0.4,-0.42,3,12,25.0,26,8,42.3,40.2,4,25.0,36.0,16,1,6.3,2,2.00,14.5,La Liga
33,Iñaki Peña,es ESP,GK,Barcelona,23,1999,2,0,73,0.8,2,2.47,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches,https://fbref.com/en/players/cc1c5035/Inaki-Pena,cc1c5035,0,0,0,1.4,0.36,-0.6,-0.70,1,3,33.3,23,5,13.0,25.2,4,0.0,22.8,7,0,0.0,2,2.47,16.5,La Liga
34,Predrag Rajković,rs SRB,GK,Mallorca,26,1995,36,36,3240,36.0,40,1.11,133,92,74.4,13,8,15,12,33.3,7,6,1,0,14.3,Matches,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,58ad9383,0,3,0,39.2,0.25,-0.8,-0.02,323,786,41.1,899,125,61.8,45.4,309,74.4,54.0,608,32,5.3,19,0.53,11.7,La Liga
35,Pepe Reina,es ESP,GK,Villarreal,39,1982,22,22,1980,22.0,27,1.23,87,61,73.6,13,3,6,5,22.7,4,4,0,0,0.0,Matches,https://fbref.com/en/players/e358587b/Pepe-Reina,e358587b,0,3,1,28.9,0.29,+2.9,+0.13,64,207,30.9,736,112,22.1,28.8,118,37.3,35.7,315,15,4.8,20,0.91,14.6,La Liga
36,Álex Remiro,es ESP,GK,Real Sociedad,27,1995,38,38,3420,38.0,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,Matches,https://fbref.com/en/players/374ee424/Alex-Remiro,374ee424,1,3,2,32.8,0.24,-0.2,0.00,244,572,42.7,1090,138,39.8,35.9,216,63.9,51.3,453,18,4.0,47,1.24,15.9,La Liga
37,Leonardo Román,es ESP,GK,Mallorca,22,2000,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,https://fbref.com/en/players/924ff27e/Leonardo-Roman,924ff27e,0,0,0,0.1,0.03,+0.1,+0.11,9,21,42.9,30,3,40.0,35.2,12,75.0,48.8,30,1,3.3,2,2.00,17.4,La Liga
38,Gerónimo Rulli,ar ARG,GK,Villarreal,30,1992,14,14,1260,14.0,10,0.71,56,46,82.1,6,3,5,7,50.0,0,0,0,0,,Matches,https://fbref.com/en/players/625c144a/Geronimo-Rulli,625c144a,0,1,0,12.5,0.23,+2.5,+0.18,50,119,42.0,451,70,19.3,28.8,92,34.8,37.9,215,20,9.3,21,1.50,15.5,La Liga
39,Rui Silva,pt POR,GK,Betis,28,1994,26,26,2340,26.0,32,1.23,104,73,71.2,12,4,10,9,34.6,2,2,0,0,0.0,Matches,https://fbref.com/en/players/ea83bfa6/Rui-Silva,ea83bfa6,1,6,1,32.9,0.30,+1.9,+0.07,154,410,37.6,668,107,40.7,35.6,214,64.5,47.5,369,18,4.9,37,1.42,16.6,La Liga
40,Unai Simón,es ESP,GK,Athletic Club,25,1997,31,31,2745,30.5,37,1.21,104,70,67.3,13,6,12,9,29.0,3,3,0,0,0.0,Matches,https://fbref.com/en/players/5dcf3e90/Unai-Simon,5dcf3e90,1,1,3,31.7,0.28,-2.3,-0.08,134,351,38.2,762,154,30.6,33.2,186,63.4,49.4,355,18,5.1,40,1.31,17.5,La Liga
41,David Soria,es ESP,GK,Getafe,29,1993,38,38,3420,38.0,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0,Matches,https://fbref.com/en/players/8f8c6934/David-Soria,8f8c6934,0,7,2,45.5,0.23,+2.5,+0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15.0,La Liga
42,Marc-André ter Stegen,de GER,GK,Barcelona,30,1992,38,38,3347,37.2,18,0.48,98,83,84.7,28,4,6,26,68.4,3,3,0,0,0.0,Matches,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,6f51e382,0,2,3,23.7,0.21,+8.7,+0.23,168,335,50.1,1215,185,22.1,28.9,197,34.0,35.2,368,18,4.9,41,1.10,16.4,La Liga
43,Iván Villar,es ESP,GK,Celta Vigo,25,1997,19,19,1710,19.0,24,1.26,62,38,66.1,6,5,8,4,21.1,4,3,0,1,0.0,Matches,https://fbref.com/en/players/cde52ef5/Ivan-Villar,cde52ef5,0,6,0,22.2,0.31,-1.8,-0.09,81,239,33.9,435,96,34.7,33.8,157,56.1,44.8,256,8,3.1,14,0.74,14.2,La Liga
44,Axel Werner,ar ARG,GK,Elche,26,1996,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/c0b1a6da/Axel-Werner,c0b1a6da,0,2,0,2.4,0.31,-1.6,-0.82,4,20,20.0,53,9,32.1,34.9,16,18.8,33.8,26,1,3.8,1,0.50,14.0,La Liga
1,Emil Audero,it ITA,GK,Sampdoria,25,1997,25,25,2250,25.0,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6,Matches,https://fbref.com/en/players/649b01d8/Emil-Audero,649b01d8,0,4,2,32.3,0.21,-4.7,-0.19,159,441,36.1,714,104,45.8,39.1,200,57.0,44.2,356,24,6.7,23,0.92,13.9,Serie A
2,Francesco Bardi,it ITA,GK,Bologna,30,1992,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,https://fbref.com/en/players/0acda699/Francesco-Bardi,0acda699,0,0,0,0.6,0.16,+0.6,+0.56,5,9,55.6,13,5,38.5,35.6,9,44.4,33.4,10,0,0.0,0,0.00,,Serie A
3,Marco Carnesecchi,it ITA,GK,Cremonese,22,2000,27,27,2430,27.0,47,1.74,153,107,70.6,4,9,14,4,14.8,2,2,0,0,0.0,Matches,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,8ec56e62,3,7,1,44.2,0.28,-1.8,-0.07,157,523,30.0,745,135,52.2,41.4,203,66.0,53.1,402,29,7.2,29,1.07,14.1,Serie A
4,Michele Cerofolini,it ITA,GK,Fiorentina,23,1999,5,5,450,5.0,3,0.60,11,8,81.8,4,1,0,2,40.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/efdeaff3/Michele-Cerofolini,efdeaff3,0,0,0,3.4,0.22,+0.4,+0.09,24,70,34.3,167,27,34.7,33.3,28,42.9,38.1,29,1,3.4,3,0.60,13.8,Serie A
5,Andrea Consigli,it ITA,GK,Sassuolo,35,1987,35,35,3150,35.0,55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0,0.0,Matches,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,8cabdc1e,0,5,2,38.5,0.31,-14.5,-0.41,176,436,40.4,1140,187,30.4,33.3,285,31.2,32.5,467,28,6.0,28,0.80,14.2,Serie A
6,Alex Cordaz,it ITA,GK,Inter,39,1983,1,0,26,0.3,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,,Matches,https://fbref.com/en/players/e66ebabb/Alex-Cordaz,e66ebabb,0,0,0,0.5,0.26,+0.5,+1.77,1,7,14.3,15,3,26.7,33.5,5,60.0,52.0,7,0,0.0,0,0.00,,Serie A
7,Alessio Cragno,it ITA,GK,Monza,28,1994,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/f554e29b/Alessio-Cragno,f554e29b,0,0,0,1.7,0.35,-1.3,-1.33,2,4,50.0,25,4,12.0,22.6,6,16.7,33.3,7,0,0.0,2,2.00,25.7,Serie A
8,Michele Di Gregorio,it ITA,GK,Monza,25,1997,37,37,3330,37.0,49,1.32,167,119,72.5,14,10,13,10,27.0,3,3,0,0,0.0,Matches,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,4e0c8d66,1,4,1,48.7,0.28,+0.7,+0.02,166,476,34.9,1265,236,30.4,32.2,247,37.2,34.9,541,14,2.6,32,0.86,13.4,Serie A
9,Bartłomiej Drągowski,pl POL,GK,Spezia,24,1997,34,34,2946,32.7,54,1.65,164,112,69.5,6,10,18,6,17.6,6,4,1,1,20.0,Matches,https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,085e71a7,1,7,3,46.1,0.25,-4.9,-0.15,151,482,31.3,975,159,37.6,34.6,196,58.7,46.5,472,13,2.8,32,0.98,14.1,Serie A
10,Wladimiro Falcone,it ITA,GK,Lecce,27,1995,38,38,3420,38.0,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7,Matches,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,9f5a610b,2,6,3,43.2,0.24,+0.2,+0.01,194,721,26.9,876,143,56.8,42.1,282,79.1,53.5,534,23,4.3,42,1.11,14.1,Serie A
11,Vincenzo Fiorillo,it ITA,GK,Salernitana,32,1990,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/a2565f79/Vincenzo-Fiorillo,a2565f79,0,0,0,1.9,0.49,-0.1,-0.05,7,15,46.7,19,3,57.9,37.9,5,80.0,56.2,7,1,14.3,0,0.00,6.0,Serie A
12,Pierluigi Gollini,it ITA,GK,Napoli,27,1995,4,4,360,4.0,4,1.00,16,12,75.0,2,1,1,2,50.0,0,0,0,0,,Matches,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,f0f7f62f,0,1,0,3.1,0.19,-0.9,-0.23,15,36,41.7,128,24,20.3,29.6,31,32.3,32.2,56,2,3.6,4,1.00,18.8,Serie A
