Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
vs Clermont Foot,2,38,3420,45,1.18,147,102,74.1,13,8,17,10,26.3,10,7,1,2,12.5,d9676424,0,5,1,49.8,0.3,5.8,0.15,121,326,37.1,903,189,25.7,30.0,215,43.7,38.9,443,25,5.6,27,0.71,13.4,Ligue 1
vs Lens,2,38,3420,68,1.79,186,117,66.7,4,9,25,5,13.2,9,6,3,0,33.3,fd4e0f7d,0,3,2,61.6,0.29,-4.4,-0.12,168,510,32.9,893,155,38.7,34.5,297,55.2,41.8,637,33,5.2,35,0.92,12.1,Ligue 1
vs Lille,2,38,3420,65,1.71,212,147,74.5,9,10,19,7,18.4,12,11,0,1,0.0,cb188c0c,0,7,0,64.9,0.27,-0.1,0.0,230,620,37.1,1120,169,42.0,36.6,265,56.6,44.2,521,19,3.6,31,0.82,12.9,Ligue 1
vs Lorient,2,38,3420,52,1.37,155,104,69.0,13,10,15,9,23.7,6,4,2,0,33.3,d2c87802,3,8,3,43.7,0.25,-5.3,-0.14,147,341,43.1,758,155,31.8,32.6,200,50.0,39.9,346,17,4.9,39,1.03,15.2,Ligue 1
vs Lyon,2,38,3420,65,1.71,206,142,71.4,12,8,18,7,18.4,8,6,1,1,14.3,d53c0b06,2,7,2,62.7,0.28,-0.3,-0.01,188,487,38.6,979,167,37.4,34.7,223,54.3,40.5,522,32,6.1,36,0.95,13.1,Ligue 1
vs Marseille,2,38,3420,67,1.76,180,118,66.1,9,7,22,5,13.2,7,6,1,0,14.3,5725cc7b,2,11,6,55.5,0.28,-5.5,-0.15,243,717,33.9,1054,150,50.0,39.2,279,68.1,48.0,591,33,5.6,25,0.66,10.7,Ligue 1
vs Monaco,1,38,3420,70,1.84,207,135,68.6,11,8,19,6,15.8,8,5,3,0,37.5,fd6114db,1,10,1,69.2,0.3,0.2,0.01,153,460,33.3,1143,206,31.2,31.7,233,44.2,37.5,514,38,7.4,26,0.68,11.9,Ligue 1
vs Montpellier,4,38,3420,65,1.71,172,108,66.3,18,5,15,5,13.2,7,7,0,0,0.0,281b0e73,2,7,1,56.0,0.29,-8.0,-0.21,158,371,42.6,839,175,28.4,31.0,245,54.3,42.9,507,29,5.7,48,1.26,13.0,Ligue 1
vs Nantes,2,38,3420,37,0.97,155,119,78.1,16,15,7,15,39.5,5,3,1,1,25.0,d7a486cd,0,5,2,41.2,0.25,6.2,0.16,196,496,39.5,1006,190,36.3,33.9,238,55.0,42.5,652,53,8.1,31,0.82,10.9,Ligue 1
vs Nice,2,38,3419,48,1.26,192,146,78.1,10,13,15,11,28.9,7,6,1,0,14.3,132ebc33,0,6,1,55.7,0.27,8.7,0.23,132,346,38.2,979,215,23.9,30.3,251,44.6,38.2,534,29,5.4,31,0.82,13.9,Ligue 1
