Standard_Squad,Standard_No_Pl,Standard_Age,Standard_Poss,Standard_Playing_Time_MP,Standard_Playing_Time_Starts,Standard_Playing_Time_Min,Standard_Performance_Gls,Standard_Performance_Ast,Standard_Performance_G_Plus_A,Standard_Performance_G_PK,Standard_Performance_PK,Standard_Performance_PKatt,Standard_Performance_CrdY,Standard_Performance_CrdR,Standard_Expected_xG,Standard_Expected_npxG,Standard_Expected_xAG,Standard_Expected_npxG_Plus_xAG,Standard_Progression_PrgC,Standard_Progression_PrgP,Standard_Per_90_Minutes_Gls,Standard_Per_90_Minutes_Ast,Standard_Per_90_Minutes_G_Plus_A,Standard_Per_90_Minutes_G_PK,Standard_Per_90_Minutes_G_Plus_A_PK,Standard_Per_90_Minutes_xG,Standard_Per_90_Minutes_xAG,Standard_Per_90_Minutes_xG_Plus_xAG,Standard_Per_90_Minutes_npxG,Standard_Per_90_Minutes_npxG_Plus_xAG,Standard_Team_ID,Shooting_Standard_Sh,Shooting_Standard_SoT,Shooting_Standard_SoT_Pct,Shooting_Standard_Sh_per90,Shooting_Standard_SoT_per90,Shooting_Standard_G_perSh,Shooting_Standard_G_perSoT,Shooting_Standard_Dist,Shooting_Standard_FK,Shooting_Expected_npxG_perSh,Shooting_Expected_G_xG,Shooting_Expected_np_G_xG,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp_Pct,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp_Pct,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp_Pct,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp_Pct,Passing_xA,Passing_A_xAG,Passing_KP,Passing_One_Third,Passing_PPA,Passing_CrsPA,Pass_Types_Pass_Types_Live,Pass_Types_Pass_Types_Dead,Pass_Types_Pass_Types_FK,Pass_Types_Pass_Types_TB,Pass_Types_Pass_Types_Sw,Pass_Types_Pass_Types_Crs,Pass_Types_Pass_Types_TI,Pass_Types_Pass_Types_CK,Pass_Types_Corner_Kicks_In,Pass_Types_Corner_Kicks_Out,Pass_Types_Corner_Kicks_Str,Pass_Types_Outcomes_Off,Pass_Types_Outcomes_Blocks,Goal_And_Shot_Creation_SCA,Goal_And_Shot_Creation_SCA_SCA90,Goal_And_Shot_Creation_SCA_Types_PassLive,Goal_And_Shot_Creation_SCA_Types_PassDead,Goal_And_Shot_Creation_SCA_Types_TO,Goal_And_Shot_Creation_SCA_Types_Sh,Goal_And_Shot_Creation_SCA_Types_Fld,Goal_And_Shot_Creation_SCA_Types_Def,Goal_And_Shot_Creation_GCA,Goal_And_Shot_Creation_GCA_GCA90,Goal_And_Shot_Creation_GCA_Types_PassLive,Goal_And_Shot_Creation_GCA_Types_PassDead,Goal_And_Shot_Creation_GCA_Types_TO,Goal_And_Shot_Creation_GCA_Types_Sh,Goal_And_Shot_Creation_GCA_Types_Fld,Goal_And_Shot_Creation_GCA_Types_Def,Defensive_Tackles_Tkl,Defensive_Tackles_TklW,Defensive_Tackles_Def_3rd,Defensive_Tackles_Mid_3rd,Defensive_Tackles_Att_3rd,Defensive_Challenges_Tkl,Defensive_Challenges_Att,Defensive_Challenges_Tkl_Pct,Defensive_Challenges_Lost,Defensive_Blocks,Defensive_Blocks_Sh,Defensive_Blocks_Pass,Defensive_Int,Defensive_Tkl_Plus_Int,Defensive_Clr,Defensive_Err,Possession_Touches,Possession_Touches_Def_Pen,Possession_Touches_Def_3rd,Possession_Touches_Mid_3rd,Possession_Touches_Att_3rd,Possession_Touches_Att_Pen,Possession_Touches_Live,Possession_Take_Ons_Att,Possession_Take_Ons_Succ,Possession_Take_Ons_Succ_Pct,Possession_Take_Ons_Tkld,Possession_Take_Ons_Tkld_Pct,Possession_Carries,Possession_Carries_TotDist,Possession_Carries_PrgDist,Possession_Carries_One_Third,Possession_Carries_CPA,Possession_Carries_Mis,Possession_Carries_Dis,Possession_Receiving_Rec,Possession_Receiving_PrgR,Playing_Time_Playing_Time_Mn_perMP,Playing_Time_Playing_Time_Min_Pct,Playing_Time_Starts_Mn_perStart,Playing_Time_Starts_Compl,Playing_Time_Subs,Playing_Time_Subs_Mn_perSub,Playing_Time_Subs_unSub,Playing_Time_Team_Success_PPM,Playing_Time_Team_Success_onG,Playing_Time_Team_Success_onGA,Playing_Time_Team_Success_Plus_per,Playing_Time_Team_Success_Plus_per_90,Playing_Time_Team_Success_xG_onxGA,Playing_Time_Team_Success_xG_xG_Plus_per,Playing_Time_Team_Success_xG_xG_Plus_per_90,Misc_Performance_2CrdY,Misc_Performance_Fls,Misc_Performance_Fld,Misc_Performance_PKwon,Misc_Performance_PKcon,Misc_Performance_OG,Misc_Performance_Recov,Misc_Aerial_Duels_Won,Misc_Aerial_Duels_Lost,Misc_Aerial_Duels_Won_Pct,League
vs Arsenal,26,26.7,40.1,38,418,3420,42,27,69,39,3,5,84,1,42.0,38.0,31.6,69.6,510,907,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1.0,1.83,18bb7c10,337,133,39.5,8.87,3.5,0.12,0.29,16.1,8,0.11,0.0,1.0,11424,15090,75.7,202608,76723,5278,6079,86.8,4656,5577,83.5,1174,2519,46.6,26.0,-4.6,259,778,201,45,13335,1672,407,51,99,510,662,139,79,47,4,83,317,569,14.97,398,64,31,33,32,11,66,1.74,49,5,2,4,5,1,668,387,402,202,64,290,641,45.2,351,516,186,330,360,1028,841,18,19203,2933,7798,7683,3935,673,19197,584,257,44.0,249,42.6,10261,53986,26086,354,147,476,319,11310,901,90,100,85,270,150,15,199,0.63,43,88,-45,-1.18,71.9,-29.9,-0.79,0,456,354,4,4,4,1821,559,486,53.5,EPL
vs Aston Villa,26,26.5,50.6,38,418,3420,42,25,67,37,5,6,85,3,52.5,47.9,36.1,84.0,607,1323,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,8602292d,424,145,34.2,11.16,3.82,0.09,0.26,16.5,14,0.12,-10.5,-10.9,14277,18089,78.9,255169,89828,6523,7424,87.9,5885,6859,85.8,1554,2778,55.9,28.7,-11.1,321,1096,282,65,16219,1754,446,95,180,689,765,211,96,77,7,116,375,757,19.92,530,82,45,52,39,9,74,1.95,48,7,5,7,5,2,650,370,305,237,108,279,571,48.9,292,413,127,286,332,982,635,9,22020,2102,7107,9894,5219,870,22014,730,333,45.6,313,42.9,12332,62377,31979,425,184,486,320,14144,1306,90,100,83,274,144,20,181,1.21,46,51,-5,-0.13,50.2,2.2,0.06,3,508,403,3,4,2,1962,465,442,51.3,EPL
vs Bournemouth,31,26.6,59.9,38,418,3420,68,49,117,62,6,7,51,0,63.9,58.4,45.3,103.8,810,1988,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73,4ba7cbea,619,198,32.0,16.29,5.21,0.1,0.31,17.0,15,0.1,4.1,3.6,18709,22764,82.2,328529,107187,8431,9452,89.2,8068,9207,87.6,1777,2972,59.8,44.6,3.7,455,1615,430,95,20999,1700,403,54,126,930,732,271,139,73,3,65,395,1090,28.68,822,101,38,67,45,17,114,3.0,73,15,4,17,5,0,711,426,318,271,122,344,665,51.7,321,404,96,308,279,990,563,13,26820,2088,7398,11841,7803,1107,26813,697,350,50.2,256,36.7,16186,82870,42849,575,211,550,362,18578,1976,90,100,84,279,141,19,184,1.82,71,37,34,0.89,38.6,25.3,0.67,0,375,372,3,0,0,2160,539,521,50.8,EPL
vs Brentford,25,26.6,56.6,38,418,3420,43,30,73,41,2,2,61,1,49.9,48.7,36.8,85.5,741,1540,1.13,0.79,1.92,1.08,1.87,1.31,0.97,2.28,1.28,2.25,cd051869,557,195,35.0,14.66,5.13,0.07,0.21,18.4,12,0.09,-6.9,-7.7,15959,20073,79.5,264065,90402,7989,8970,89.1,6154,7254,84.8,1318,2713,48.6,37.2,-6.8,417,1368,363,84,18299,1713,403,63,112,781,715,214,103,73,5,61,343,999,26.29,764,68,54,74,28,11,76,2.0,51,7,6,9,2,1,583,330,275,221,87,248,512,48.4,264,354,86,268,291,874,822,11,24216,2369,6890,10625,6903,895,24214,689,346,50.2,253,36.7,13624,72302,37380,656,155,547,334,15840,1530,90,100,82,247,171,19,208,1.08,46,58,-12,-0.32,56.8,-6.8,-0.18,0,415,338,1,8,2,1975,618,665,48.2,EPL
vs Brighton,29,26.5,39.5,38,418,3420,47,34,81,41,6,8,92,1,50.2,43.7,33.7,77.4,527,1026,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04,d07537b9,380,123,32.4,10.0,3.24,0.11,0.33,16.2,15,0.12,-3.2,-2.7,11658,15116,77.1,200962,76693,5500,6255,87.9,4775,5646,84.6,1061,2361,44.9,27.1,0.3,293,782,236,50,13420,1653,473,44,69,444,607,134,59,52,2,43,310,673,17.71,483,54,42,38,43,13,82,2.16,54,4,9,7,7,1,603,350,312,220,71,279,622,44.9,343,505,160,345,417,1020,777,24,19339,2866,7920,7496,4111,711,19331,645,294,45.6,266,41.2,10293,53237,26095,367,173,513,350,11532,1012,90,100,83,277,143,19,191,1.16,53,72,-19,-0.5,73.3,-23.1,-0.61,0,426,409,6,6,4,1875,387,444,46.6,EPL
vs Chelsea,32,26.6,41.0,38,418,3420,44,32,76,43,1,1,69,1,52.5,51.7,39.9,91.7,593,1203,1.16,0.84,2.0,1.13,1.97,1.38,1.05,2.43,1.36,2.41,cff3d9bb,437,158,36.2,11.5,4.16,0.1,0.27,16.7,10,0.12,-8.5,-8.7,12591,16256,77.5,219610,84778,5875,6743,87.1,5133,6094,84.2,1242,2398,51.8,30.1,-7.9,321,967,240,59,14458,1748,456,41,83,591,744,182,105,35,1,50,404,750,19.74,543,59,46,52,34,16,69,1.82,45,4,4,10,4,2,733,429,373,260,100,352,727,48.4,375,474,145,329,374,1107,792,10,20667,2640,7410,8358,5105,760,20666,744,321,43.1,333,44.8,11149,58694,30130,416,167,545,407,12479,1188,90,100,81,243,173,22,190,1.55,47,38,9,0.24,49.5,3.0,0.08,1,468,378,1,3,1,1956,453,493,47.9,EPL
vs Crystal Palace,26,26.6,53.9,38,418,3420,46,32,78,42,4,4,83,3,48.1,44.9,34.5,79.4,590,1592,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09,47c64c55,452,156,34.5,11.89,4.11,0.09,0.27,16.2,14,0.1,-2.1,-2.9,16316,20332,80.2,280950,99352,7628,8660,88.1,6712,7780,86.3,1522,2746,55.4,33.7,-2.5,339,1214,353,84,18512,1750,484,50,140,682,763,176,80,60,8,70,384,796,20.95,578,85,35,45,44,9,81,2.13,59,5,6,7,4,0,771,436,370,299,102,314,681,46.1,367,449,136,313,366,1137,659,13,24639,2382,7900,10905,6036,947,24635,622,251,40.4,281,45.2,14512,74733,38926,485,139,584,409,16193,1581,90,100,84,277,138,17,192,1.5,49,40,9,0.24,39.3,8.8,0.23,1,487,429,3,3,2,2130,578,496,53.8,EPL
vs Everton,28,26.5,57.4,38,418,3420,57,36,93,52,5,6,76,1,65.7,61.1,45.7,106.8,752,1678,1.5,0.95,2.45,1.37,2.32,1.73,1.2,2.93,1.61,2.81,d3fd31cc,570,179,31.4,15.0,4.71,0.09,0.29,16.4,15,0.11,-8.7,-9.1,17041,21204,80.4,293765,101614,7993,9020,88.6,7025,8188,85.8,1559,2848,54.7,36.3,-9.7,437,1295,358,101,19286,1864,438,51,153,758,846,238,90,66,2,54,393,1017,26.76,737,97,51,74,42,16,99,2.61,67,2,8,12,9,1,596,365,270,258,68,296,601,49.3,305,384,122,262,275,871,727,12,25326,2438,8031,11022,6477,1025,25320,694,302,43.5,309,44.5,14664,76078,40728,496,212,582,399,16932,1670,90,100,84,300,116,20,190,1.74,57,34,23,0.61,45.2,20.5,0.54,0,400,382,5,2,2,2092,613,582,51.3,EPL
vs Fulham,29,26.7,51.3,38,418,3420,51,30,81,44,7,8,57,5,63.8,57.9,43.1,101.0,558,1406,1.34,0.79,2.13,1.16,1.95,1.68,1.13,2.81,1.52,2.66,fd962109,497,188,37.8,13.08,4.95,0.09,0.23,16.7,20,0.12,-12.8,-13.9,15001,19010,78.9,262050,93178,6992,8025,87.1,6190,7186,86.1,1459,2750,53.1,34.5,-13.1,361,1114,331,83,17219,1703,438,76,137,608,720,204,94,66,1,88,368,878,23.11,639,65,52,64,50,8,87,2.29,55,3,6,15,8,0,617,362,280,258,79,238,507,46.9,269,447,116,331,340,957,754,8,23238,2494,7912,10257,5263,887,23230,674,279,41.4,299,44.4,13029,65866,32970,353,165,543,324,14833,1390,90,100,84,265,152,15,196,1.45,53,55,-2,-0.05,46.2,17.6,0.46,1,419,392,8,9,3,2070,550,511,51.8,EPL
vs Leeds United,29,26.7,53.1,38,418,3420,77,50,127,72,5,6,66,3,67.2,62.5,49.9,112.5,596,1469,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.65,2.96,5bfb9659,522,180,34.5,13.74,4.74,0.14,0.4,16.5,19,0.12,9.8,9.5,15111,19538,77.3,269802,96986,6666,7739,86.1,6577,7786,84.5,1516,2885,52.5,35.8,0.1,381,1172,287,58,17541,1911,492,69,131,612,866,182,87,61,6,86,450,921,24.24,640,88,72,60,49,12,140,3.68,98,4,21,8,7,2,749,427,379,292,78,328,596,55.0,268,509,140,369,391,1140,740,11,24304,2447,8102,10849,5573,872,24298,973,451,46.4,412,42.3,13328,67350,33950,423,189,630,428,14978,1455,90,100,82,260,157,21,198,1.92,78,48,30,0.79,47.4,19.8,0.52,1,422,453,5,3,3,2255,607,586,50.9,EPL
vs Leicester City,28,26.6,52.4,38,418,3420,63,46,109,59,4,5,64,2,63.4,59.9,48.0,107.9,721,1575,1.66,1.21,2.87,1.55,2.76,1.67,1.26,2.93,1.58,2.84,a2d435b3,567,173,30.5,14.92,4.55,0.1,0.34,17.2,21,0.11,-0.4,-0.9,16629,20664,80.5,291365,98077,7582,8521,89.0,6972,8068,86.4,1633,2896,56.4,35.5,-2.0,418,1310,334,81,18816,1770,461,75,157,712,756,236,129,58,5,78,402,986,25.95,713,84,51,71,50,17,106,2.79,81,4,6,5,7,3,558,336,263,217,78,245,536,45.7,291,475,112,363,339,897,600,15,24725,2155,7422,11141,6380,917,24720,771,361,46.8,308,39.9,13966,74211,38197,547,177,517,392,16475,1559,90,100,82,278,138,23,196,1.92,68,51,17,0.45,50.6,12.8,0.34,2,410,395,3,6,2,2119,558,512,52.1,EPL
vs Liverpool,28,26.6,38.9,38,418,3420,45,32,77,43,2,4,59,1,50.9,48.1,37.8,85.8,505,1101,1.18,0.84,2.03,1.13,1.97,1.34,0.99,2.33,1.26,2.26,822bd0ba,366,154,42.1,9.63,4.05,0.12,0.28,15.9,9,0.13,-5.9,-5.1,11949,15970,74.8,211445,82709,5604,6558,85.5,4725,5743,82.3,1275,2707,47.1,27.6,-5.8,283,908,232,58,14167,1715,466,76,122,515,677,134,75,34,1,88,315,655,17.24,481,58,45,30,32,9,78,2.05,52,3,10,5,4,4,694,391,368,254,72,282,602,46.8,320,501,164,337,410,1104,995,22,20607,3079,8404,8219,4189,677,20603,751,367,48.9,281,37.4,10557,53483,26434,332,166,586,309,11858,1090,90,100,82,253,164,20,197,0.97,47,75,-28,-0.74,72.6,-21.7,-0.57,0,343,383,4,4,4,2083,455,482,48.6,EPL
vs Manchester City,24,26.6,34.7,38,418,3420,32,21,53,29,3,3,80,2,32.1,29.8,23.8,53.5,434,860,0.84,0.55,1.39,0.76,1.32,0.85,0.63,1.47,0.78,1.41,b8fd03ef,291,89,30.6,7.66,2.34,0.1,0.33,17.2,11,0.11,-0.1,-0.8,11294,14441,78.2,202141,74164,5050,5740,88.0,4772,5482,87.0,1161,2406,48.3,19.9,-2.8,214,651,196,53,12946,1423,382,30,104,395,489,97,50,25,5,72,261,494,13.0,348,42,23,40,24,17,51,1.34,36,3,2,3,5,2,537,298,305,183,49,239,573,41.7,334,457,163,294,327,864,818,14,18167,3258,8426,6597,3319,561,18164,524,243,46.4,212,40.5,9792,49406,23535,310,125,442,259,11200,853,90,100,84,294,123,19,175,0.53,33,94,-61,-1.61,78.7,-46.6,-1.23,1,402,332,3,10,2,1647,364,438,45.4,EPL
vs Manchester Utd,26,26.4,46.0,38,418,3420,42,28,70,40,2,3,50,0,50.4,48.0,37.4,85.4,697,1355,1.11,0.74,1.84,1.05,1.79,1.33,0.98,2.31,1.26,2.25,19538871,478,139,29.1,12.58,3.66,0.08,0.29,16.6,18,0.1,-8.4,-8.0,13767,17675,77.9,240301,90072,6443,7404,87.0,5597,6630,84.4,1365,2622,52.1,34.9,-9.4,357,952,301,78,15911,1721,476,45,105,670,651,207,105,59,4,43,395,824,21.68,568,85,42,69,44,16,68,1.79,50,4,0,6,7,1,631,361,312,226,93,338,655,51.6,317,554,165,389,415,1046,616,14,21994,2733,7668,9000,5563,975,21991,718,297,41.4,301,41.9,11694,65364,34500,492,206,572,357,13634,1343,90,100,83,269,149,19,189,0.87,43,58,-15,-0.39,67.7,-17.3,-0.45,0,310,413,2,3,2,2119,434,465,48.3,EPL
vs Newcastle Utd,27,26.8,47.6,38,418,3420,31,23,54,29,2,5,80,2,39.6,35.7,29.7,65.3,600,1201,0.82,0.61,1.42,0.76,1.37,1.04,0.78,1.82,0.94,1.72,b2b47a98,382,123,32.2,10.05,3.24,0.08,0.24,17.6,13,0.1,-8.6,-6.7,12444,16389,75.9,219793,81214,5805,6626,87.6,5082,6095,83.4,1271,2745,46.3,28.1,-6.7,301,961,230,56,14572,1761,460,49,116,564,717,162,76,52,2,56,381,678,17.84,492,51,46,43,31,15,53,1.39,38,4,4,6,1,0,685,421,356,260,69,322,671,48.0,349,488,167,321,341,1026,854,12,20772,2819,7684,8651,4660,722,20766,733,335,45.7,307,41.9,10893,57872,29370,367,167,525,300,12338,1188,90,100,84,263,155,16,196,0.76,33,68,-35,-0.92,72.0,-32.4,-0.85,0,419,391,4,6,4,1956,427,553,43.6,EPL
vs Nott'ham Forest,33,26.8,62.8,38,418,3420,68,45,113,62,6,9,65,0,64.2,57.5,45.0,102.5,813,1904,1.79,1.18,2.97,1.63,2.82,1.69,1.18,2.87,1.51,2.7,e4a775cb,548,174,31.8,14.42,4.58,0.11,0.36,16.3,21,0.11,3.8,4.5,18444,22551,81.8,315466,104797,8568,9564,89.6,7833,8956,87.5,1577,2845,55.4,42.5,0.0,438,1523,392,80,20654,1839,477,79,123,817,816,239,99,93,6,58,413,1000,26.32,703,97,58,72,61,9,120,3.16,85,8,6,11,8,2,510,301,197,210,103,235,489,48.1,254,355,88,267,286,796,646,16,26490,2033,7131,12307,7232,1106,26481,697,288,41.3,296,42.5,15879,86558,47243,585,216,557,363,18267,1880,90,100,82,261,159,21,199,1.71,68,38,30,0.79,39.3,24.9,0.66,0,414,425,5,6,2,2022,600,560,51.7,EPL
vs Southampton,36,26.7,55.6,38,418,3420,68,55,123,66,2,3,63,2,61.0,58.7,46.4,105.0,652,1735,1.79,1.45,3.24,1.74,3.18,1.61,1.22,2.83,1.54,2.76,33c895d4,523,147,28.1,13.76,3.87,0.13,0.45,16.5,11,0.12,7.0,7.3,16376,20617,79.4,288473,104529,7450,8538,87.3,6901,8048,85.7,1618,2893,55.9,39.7,8.6,388,1334,389,88,18768,1796,471,78,164,686,802,208,82,71,4,53,417,920,24.21,702,65,46,59,34,14,121,3.18,94,7,6,7,6,1,718,418,311,306,101,318,676,47.0,358,445,114,331,318,1036,718,9,24922,2333,7919,11070,6171,1055,24919,688,312,45.3,297,43.2,14203,70838,35355,446,221,590,417,16240,1717,90,100,81,243,175,22,187,2.16,73,36,37,0.97,37.7,23.3,0.61,1,399,413,3,4,0,2170,611,551,52.6,EPL
vs Tottenham,29,26.7,50.1,38,418,3420,62,45,107,59,3,4,79,2,49.7,46.6,36.3,82.8,685,1516,1.63,1.18,2.82,1.55,2.74,1.31,0.95,2.26,1.23,2.18,361ca564,516,168,32.6,13.58,4.42,0.11,0.35,18.1,18,0.09,12.3,12.4,16079,19765,81.4,276347,90930,7658,8556,89.5,6515,7425,87.7,1511,2800,54.0,34.3,8.7,400,1359,300,77,18051,1667,467,58,123,665,648,196,87,56,14,47,327,905,23.82,681,71,49,51,37,16,111,2.92,82,4,9,10,4,2,644,393,290,244,110,288,591,48.7,303,502,150,352,322,966,717,11,24011,2364,6699,10897,6627,935,24007,659,299,45.4,275,41.7,13878,69544,33624,524,212,541,344,15945,1497,90,100,85,278,140,15,193,1.26,63,70,-7,-0.18,57.1,-7.4,-0.2,1,381,412,3,6,2,2050,474,549,46.3,EPL
vs West Ham,25,26.6,58.2,38,418,3420,54,42,96,50,4,6,54,0,53.0,48.4,39.8,88.2,805,1721,1.42,1.11,2.53,1.32,2.42,1.4,1.05,2.44,1.27,2.32,7c21e445,493,165,33.5,12.97,4.34,0.1,0.3,17.6,10,0.1,1.0,1.6,18872,22778,82.9,315939,105899,9151,10095,90.6,7698,8792,87.6,1503,2780,54.1,34.7,2.2,369,1408,336,67,21093,1640,406,75,126,730,691,195,84,79,2,45,320,890,23.42,674,70,47,51,32,16,100,2.63,72,8,5,5,6,4,621,372,285,248,88,266,508,52.4,242,453,142,311,292,913,816,12,27044,2677,8406,12186,6688,975,27038,648,289,44.6,269,41.5,16218,85059,44739,612,222,568,338,18736,1709,90,100,84,286,132,20,193,1.76,55,42,13,0.34,49.2,3.9,0.1,0,328,341,5,8,1,2070,587,620,48.6,EPL
vs Wolves,32,26.4,49.8,38,418,3420,57,44,101,55,2,4,75,0,59.9,56.7,44.2,100.9,702,1596,1.5,1.16,2.66,1.45,2.61,1.58,1.16,2.74,1.49,2.66,8cec06e1,551,170,30.9,14.5,4.47,0.1,0.32,17.2,27,0.11,-2.9,-1.7,14585,18284,79.8,254508,93552,6776,7682,88.2,6056,7032,86.1,1388,2572,54.0,39.7,-0.2,399,1205,346,82,16482,1765,493,61,140,735,755,203,104,64,4,37,364,959,25.24,688,78,50,63,58,22,98,2.58,71,4,6,6,5,6,629,360,281,225,123,302,677,44.6,375,424,114,310,317,946,712,12,22413,2222,6907,9715,6004,1041,22409,706,323,45.8,286,40.5,12748,69224,35818,495,218,570,375,14439,1575,90,100,80,248,165,24,183,1.71,58,31,27,0.71,36.8,23.1,0.61,0,413,446,4,3,3,2000,542,465,53.8,EPL
vs Almería,29,27.6,54.9,38,418,3420,64,49,113,60,4,6,93,5,62.5,57.8,49.5,107.4,860,1706,1.68,1.29,2.97,1.58,2.87,1.65,1.3,2.95,1.52,2.83,78ecf4bb,537,198,36.9,14.13,5.21,0.11,0.3,17.4,14,0.11,1.5,2.2,15416,19387,79.5,271349,96951,7332,8169,89.8,6009,7054,85.2,1644,2972,55.3,49.2,-0.5,423,1406,370,91,17366,1863,501,70,189,851,781,227,80,99,1,158,367,955,25.13,739,78,44,39,43,12,110,2.89,84,7,7,5,6,1,591,369,274,233,84,310,605,51.2,295,373,108,265,249,840,553,14,23157,1976,6270,10605,6484,1017,23151,710,343,48.3,280,39.4,13813,75521,41254,626,236,483,277,15273,1689,90,100,81,229,187,21,244,1.71,65,49,16,0.42,45.5,17.0,0.45,2,427,427,5,3,0,2009,530,481,52.4,La Liga
vs Athletic Club,26,27.3,48.4,38,418,3420,40,28,68,37,3,3,97,3,36.9,34.5,26.9,61.4,549,1211,1.05,0.74,1.79,0.97,1.71,0.97,0.71,1.68,0.91,1.62,2b390eca,387,120,31.0,10.18,3.16,0.1,0.31,18.0,16,0.09,3.1,2.5,13536,17570,77.0,245536,92719,6175,7076,87.3,5335,6384,83.6,1644,3105,52.9,27.7,1.1,286,913,252,70,15542,1951,580,41,190,579,789,136,56,50,2,77,358,675,17.76,470,65,42,42,41,15,69,1.82,45,3,7,5,6,3,656,418,374,212,70,305,652,46.8,347,449,147,302,384,1040,839,17,21993,2875,8383,9235,4605,626,21990,718,320,44.6,322,44.8,12123,62040,30311,410,135,600,286,13411,1202,90,100,81,234,182,19,232,1.42,43,47,-4,-0.11,54.2,-17.3,-0.46,1,449,479,3,7,1,2087,487,532,47.8,La Liga
vs Atlético Madrid,27,27.0,49.4,38,418,3420,33,22,55,29,4,5,93,6,41.3,37.4,31.5,68.9,729,1634,0.87,0.58,1.45,0.76,1.34,1.09,0.83,1.92,0.98,1.81,db3b9613,433,124,28.6,11.39,3.26,0.07,0.23,18.6,18,0.09,-8.3,-8.4,16384,20021,81.8,301152,100162,6990,7841,89.1,7186,8112,88.6,1852,3099,59.8,31.5,-9.5,331,1304,267,93,18229,1735,495,40,228,742,650,185,78,68,1,57,352,781,20.55,585,60,49,41,38,8,58,1.53,43,4,1,7,3,0,539,317,271,181,87,262,584,44.9,322,445,134,311,368,907,663,14,24043,2425,7018,11697,5530,691,24038,764,351,45.9,334,43.7,14819,75451,38319,515,146,540,333,16237,1617,90,100,81,245,168,22,244,0.76,33,70,-37,-0.97,62.3,-20.9,-0.55,2,449,419,3,1,2,2011,399,445,47.3,La Liga
vs Barcelona,29,27.4,35.7,38,418,3420,17,10,27,14,3,3,93,8,33.2,30.8,23.0,53.9,474,955,0.45,0.26,0.71,0.37,0.63,0.87,0.61,1.48,0.81,1.42,206d90db,327,99,30.3,8.61,2.61,0.04,0.14,17.5,6,0.1,-16.2,-16.8,10316,13758,75.0,190049,78390,4734,5458,86.7,3903,4724,82.6,1358,2606,52.1,21.6,-13.0,244,747,198,61,11850,1788,511,41,155,483,672,111,48,46,1,120,306,560,14.74,410,51,26,37,20,16,25,0.66,17,1,1,3,3,0,647,385,332,250,65,321,717,44.8,396,423,139,284,369,1016,746,17,17703,2713,6968,7319,3601,547,17700,567,271,47.8,227,40.0,9548,51240,23752,341,131,517,295,10223,952,90,100,81,246,168,23,244,0.58,20,70,-50,-1.32,75.5,-42.3,-1.11,2,471,410,3,1,1,1831,359,467,43.5,La Liga
vs Betis,30,27.3,49.4,38,418,3420,40,28,68,37,3,3,99,8,50.1,47.7,36.9,84.7,750,1571,1.05,0.74,1.79,0.97,1.71,1.32,0.97,2.29,1.26,2.23,fc536746,464,144,31.0,12.21,3.79,0.08,0.26,17.8,24,0.1,-10.1,-10.7,14220,17964,79.2,252008,95359,6584,7458,88.3,5828,6839,85.2,1478,2672,55.3,35.7,-8.9,326,1182,302,86,16070,1790,455,61,153,756,771,209,71,98,2,104,370,807,21.24,559,92,54,44,47,11,69,1.82,51,4,4,6,3,1,664,417,303,268,93,311,676,46.0,365,437,95,342,325,989,584,9,21953,2101,6663,9682,5847,784,21949,765,363,47.5,338,44.2,12652,68191,36568,606,147,492,327,14098,1553,90,100,81,242,165,21,244,1.18,41,46,-5,-0.13,51.8,-1.8,-0.05,1,568,389,2,9,3,1977,502,453,52.6,La Liga
vs Cádiz,38,27.2,58.1,38,418,3420,53,32,85,44,9,10,100,11,61.4,53.6,38.2,91.8,823,1739,1.39,0.84,2.24,1.16,2.0,1.62,1.01,2.62,1.41,2.42,ee7c297c,541,192,35.5,14.24,5.05,0.08,0.23,17.5,24,0.1,-8.4,-9.6,15630,19569,79.9,277547,103054,7208,8097,89.0,6172,7272,84.9,1772,3099,57.2,40.0,-6.2,393,1364,339,96,17561,1939,570,39,233,852,778,200,63,82,1,69,346,973,25.61,687,86,56,61,62,21,92,2.42,63,6,6,9,8,0,603,374,255,249,99,249,495,50.3,246,347,87,260,242,845,727,10,23666,2154,6661,10803,6401,957,23656,746,351,47.1,320,42.9,13832,75623,41624,601,187,596,303,15488,1728,90,100,79,230,183,24,254,1.58,53,30,23,0.61,41.6,19.9,0.52,5,508,503,6,5,1,1954,651,606,51.8,La Liga
